-0.46,66.0386,"[ 74.1707, 58.4294, 74.1707, 69.185, 74.1707, 58.4294, 62.3692, 69.185, 74.1707, 58.4294, 62.3692, 58.4294, 74.1707, 58.4294, 62.3692, 58.4294, 62.3692, 62.3692, 58.4294, 62.3692, 69.185, 58.4294, 62.3692, 69.185, 74.1707, 62.3692, 69.185, 74.1707, 69.185, 69.185, 74.1707, 69.185 ]"
-0.44,56.5798,"[ 57.8484, 53.5572, 57.8484, 54.7093, 57.8484, 53.5572, 60.2044, 54.7093, 57.8484, 53.5572, 60.2044, 53.5572, 57.8484, 53.5572, 60.2044, 53.5572, 60.2044, 60.2044, 53.5572, 60.2044, 54.7093, 53.5572, 60.2044, 54.7093, 57.8484, 60.2044, 54.7093, 57.8484, 54.7093, 54.7093, 57.8484, 54.7093 ]"
-0.42,58.214,"[ 59.4512, 55.3946, 59.4512, 56.4048, 59.4512, 55.3946, 61.6053, 56.4048, 59.4512, 55.3946, 61.6053, 55.3946, 59.4512, 55.3946, 61.6053, 55.3946, 61.6053, 61.6053, 55.3946, 61.6053, 56.4048, 55.3946, 61.6053, 56.4048, 59.4512, 61.6053, 56.4048, 59.4512, 56.4048, 56.4048, 59.4512, 56.4048 ]"
-0.4,59.8202,"[ 61.0184, 57.2025, 61.0184, 58.0839, 61.0184, 57.2025, 62.9758, 58.0839, 61.0184, 57.2025, 62.9758, 57.2025, 61.0184, 57.2025, 62.9758, 57.2025, 62.9758, 62.9758, 57.2025, 62.9758, 58.0839, 57.2025, 62.9758, 58.0839, 61.0184, 62.9758, 58.0839, 61.0184, 58.0839, 58.0839, 61.0184, 58.0839 ]"
-0.38,61.4025,"[ 62.5557, 58.9829, 62.5557, 59.7478, 62.5557, 58.9829, 64.3237, 59.7478, 62.5557, 58.9829, 64.3237, 58.9829, 62.5557, 58.9829, 64.3237, 58.9829, 64.3237, 64.3237, 58.9829, 64.3237, 59.7478, 58.9829, 64.3237, 59.7478, 62.5557, 64.3237, 59.7478, 62.5557, 59.7478, 59.7478, 62.5557, 59.7478 ]"
-0.36,62.964,"[ 64.0671, 60.7374, 64.0671, 61.3971, 64.0671, 60.7374, 65.6542, 61.3971, 64.0671, 60.7374, 65.6542, 60.7374, 64.0671, 60.7374, 65.6542, 60.7374, 65.6542, 65.6542, 60.7374, 65.6542, 61.3971, 60.7374, 65.6542, 61.3971, 64.0671, 65.6542, 61.3971, 64.0671, 61.3971, 61.3971, 64.0671, 61.3971 ]"
-0.34,64.5071,"[ 65.556, 62.4678, 65.556, 63.0327, 65.556, 62.4678, 66.9718, 63.0327, 65.556, 62.4678, 66.9718, 62.4678, 65.556, 62.4678, 66.9718, 62.4678, 66.9718, 66.9718, 62.4678, 66.9718, 63.0327, 62.4678, 66.9718, 63.0327, 65.556, 66.9718, 63.0327, 65.556, 63.0327, 63.0327, 65.556, 63.0327 ]"
-0.32,66.0342,"[ 67.0253, 64.1759, 67.0253, 64.6554, 67.0253, 64.1759, 68.28, 64.6554, 67.0253, 64.1759, 68.28, 64.1759, 67.0253, 64.1759, 68.28, 64.1759, 68.28, 68.28, 64.1759, 68.28, 64.6554, 64.1759, 68.28, 64.6554, 67.0253, 68.28, 64.6554, 67.0253, 64.6554, 64.6554, 67.0253, 64.6554 ]"
-0.3,67.5466,"[ 68.4767, 65.8631, 68.4767, 66.2658, 68.4767, 65.8631, 69.5808, 66.2658, 68.4767, 65.8631, 69.5808, 65.8631, 68.4767, 65.8631, 69.5808, 65.8631, 69.5808, 69.5808, 65.8631, 69.5808, 66.2658, 65.8631, 69.5808, 66.2658, 68.4767, 69.5808, 66.2658, 68.4767, 66.2658, 66.2658, 68.4767, 66.2658 ]"
-0.28,69.0462,"[ 69.9124, 67.5311, 69.9124, 67.8648, 69.9124, 67.5311, 70.8766, 67.8648, 69.9124, 67.5311, 70.8766, 67.5311, 69.9124, 67.5311, 70.8766, 67.5311, 70.8766, 70.8766, 67.5311, 70.8766, 67.8648, 67.5311, 70.8766, 67.8648, 69.9124, 70.8766, 67.8648, 69.9124, 67.8648, 67.8648, 69.9124, 67.8648 ]"
-0.26,70.5345,"[ 71.3342, 69.1814, 71.3342, 69.4533, 71.3342, 69.1814, 72.1692, 69.4533, 71.3342, 69.1814, 72.1692, 69.1814, 71.3342, 69.1814, 72.1692, 69.1814, 72.1692, 72.1692, 69.1814, 72.1692, 69.4533, 69.1814, 72.1692, 69.4533, 71.3342, 72.1692, 69.4533, 71.3342, 69.4533, 69.4533, 71.3342, 69.4533 ]"
-0.24,72.0126,"[ 72.7433, 70.8153, 72.7433, 71.032, 72.7433, 70.8153, 73.4597, 71.032, 72.7433, 70.8153, 73.4597, 70.8153, 72.7433, 70.8153, 73.4597, 70.8153, 73.4597, 73.4597, 70.8153, 73.4597, 71.032, 70.8153, 73.4597, 71.032, 72.7433, 73.4597, 71.032, 72.7433, 71.032, 71.032, 72.7433, 71.032 ]"
-0.22,73.4819,"[ 74.1415, 72.4345, 74.1415, 72.602, 74.1415, 72.4345, 74.7498, 72.602, 74.1415, 72.4345, 74.7498, 72.4345, 74.1415, 72.4345, 74.7498, 72.4345, 74.7498, 74.7498, 72.4345, 74.7498, 72.602, 72.4345, 74.7498, 72.602, 74.1415, 74.7498, 72.602, 74.1415, 72.602, 72.602, 74.1415, 72.602 ]"
-0.2,74.9438,"[ 75.5302, 74.0402, 75.5302, 74.1641, 75.5302, 74.0402, 76.0407, 74.1641, 75.5302, 74.0402, 76.0407, 74.0402, 75.5302, 74.0402, 76.0407, 74.0402, 76.0407, 76.0407, 74.0402, 76.0407, 74.1641, 74.0402, 76.0407, 74.1641, 75.5302, 76.0407, 74.1641, 75.5302, 74.1641, 74.1641, 75.5302, 74.1641 ]"
-0.18,76.3979,"[ 76.9089, 75.6327, 76.9089, 75.7183, 76.9089, 75.6327, 77.3318, 75.7183, 76.9089, 75.6327, 77.3318, 75.6327, 76.9089, 75.6327, 77.3318, 75.6327, 77.3318, 77.3318, 75.6327, 77.3318, 75.7183, 75.6327, 77.3318, 75.7183, 76.9089, 77.3318, 75.7183, 76.9089, 75.7183, 75.7183, 76.9089, 75.7183 ]"
-0.16,77.8468,"[ 78.2806, 77.2142, 78.2806, 77.2665, 78.2806, 77.2142, 78.6257, 77.2665, 78.2806, 77.2142, 78.6257, 77.2142, 78.2806, 77.2142, 78.6257, 77.2142, 78.6257, 78.6257, 77.2142, 78.6257, 77.2665, 77.2142, 78.6257, 77.2665, 78.2806, 78.6257, 77.2665, 78.2806, 77.2665, 77.2665, 78.2806, 77.2665 ]"
-0.14,79.2916,"[ 79.6468, 78.7862, 79.6468, 78.8097, 79.6468, 78.7862, 79.9237, 78.8097, 79.6468, 78.7862, 79.9237, 78.7862, 79.6468, 78.7862, 79.9237, 78.7862, 79.9237, 79.9237, 78.7862, 79.9237, 78.8097, 78.7862, 79.9237, 78.8097, 79.6468, 79.9237, 78.8097, 79.6468, 78.8097, 78.8097, 79.6468, 78.8097 ]"
